41869171810	phụ kiện điện thoại	1	19900	60000	67	4.22	1356	934	Super Cheap 2020	Thành phố Hồ Chí Minh	4.24	45	1	0	100	Tai nghe Bluetooth không dây P4 TWS có chức năng khử tiếng ồn dành cho thể thao và chơi game
54208152799	phụ kiện điện thoại	1	15000	110000	86	4.44	111	87	Gấu trúc đỏ sạc dự phòng	Thành phố Hà Nội	4.43	2311	1	0	100	Tai nghe chơi game X55 Bluetooth 5.4 chống nước, màn hình LED pin Trâu, độ trễ thấp,thiết kế nhỏ gọn
28991133742	phụ kiện điện thoại	1	19900	60000	67	4.31	1477	1066	Easy shop1688	Thành phố Hồ Chí Minh	4.29	117	1	0	100	Tai nghe Bluetooth không dây pro 4 TWS 5.3", chống ồn, phù hợp cho thể thao và chơi game.
43317549734	phụ kiện điện thoại	0	19900	60000	67	4.31	318	239	Small retail shops	Thành phố Hồ Chí Minh	4.37	30	1	0	100	Tai nghe không dây Bluetooth X15 Tws, Tai nghe chơi game Bluetooth 5.3 có micrô tích hợp
19076200751	phụ kiện điện thoại	0	59000	80000	26	4.42	1120	846	Shop Chill 4G	Thành phố Hà Nội	4.50	879	1	0	67	Tai Nghe Bluetooth Mini Pro Chống Nước Kháng Ồn Âm Thanh Chất Lượng Kèm Bảo Hành Lỗi 1 Đổi 1
14609320217	phụ kiện điện thoại	0	0	100000	36	4.70	6298	5452	Hauhaushop91	Thành phố Hải Phòng	4.74	103360	1	0	100	Tai nghe Gaming X15 / G11 PRO Tws Bluetooth 5.0.Tai nghe chơi game bluetooth, Không dây có mic với độ trễ cực thấp
45257587010	phụ kiện điện thoại	0	0	0	51	4.41	551	411	Vectra Sound	Thành phố Hà Nội	4.39	24	1	0	100	Tai nghe Bluetooth không dây X15 Tws Tai nghe chơi game có màn hình LED bluetooth 5.3 tích hợp mic
40124510623	phụ kiện điện thoại	0	19900	60000	67	4.30	1925	1390	Gadget Hub VN	Thành phố Hồ Chí Minh	4.35	242	0	0	100	Tai Nghe Bluetooth pro 4 Không Dây TWS Cảm Ứng Chạm Khử Tiếng Ồn Dùng Chơi Game, Nghe Nhạc
24156139007	pin sạc dự phòng	1	228626	369076	38	4.79	3306	2965	DOSEN VN	Thành phố Hà Nội	4.75	3842	0	1	100	dosen Sạc dự phòng power bank pd22.5w 10000mah 30000mah 50000mah pin dự phòng màn hình led tích hợp tích hợp
26458860279	pin sạc dự phòng	1	352350	584700	40	4.86	1119	1040	DOSEN PRO	Thành phố Hà Nội	4.74	14313	0	1	100	dosen sạc dự phòng pd22.5w 10000mah 25000mah tự mang theo dây đôi pin dự phòng màn hình led tích hợp tích hợp
28420521474	pin sạc dự phòng	1	228626	369076	38	4.84	510	466	DOSEN PRO	Thành phố Hà Nội	4.74	14313	0	1	100	dosen pro sạc dự phòng pd22.5w 30000mah 12000mah 80000mah pin dự phòng màn hình Led tích hợp tích hợp
40251537408	pin sạc dự phòng	0	352350	556857	37	4.76	494	442	DOSEN VN	Thành phố Hà Nội	4.75	3842	0	1	100	Dosen sạc dự phòng pd22.5w 10000mAh 20000mAh 25000mah Power bank Với màn hình hiển thị mức Led
57706144554	pin sạc dự phòng	0	333004	772273	57	4.93	54	52	DOSEN VN	Thành phố Hà Nội	4.75	3842	0	1	100	Dosen sạc dự phòng pd22.5w 10000mah 20000mah tự mang theo dây đôi pin dự phòng màn hình led tích hợp tích hợp
40028763819	pin sạc dự phòng	0	381099	441660	14	4.74	121	105	DOSEN VN	Thành phố Hà Nội	4.75	3842	0	1	100	Dosen Mini Từ Tính Không Dây 10000mah 12000mAh 22.5W Sạc Nhanh Power Bank có nam châm thích hợp cho phone
43050973866	pin sạc dự phòng	0	228626	369076	38	4.80	1101	991	DOSEN VN	Thành phố Hà Nội	4.75	3842	0	1	100	Dosen Sạc dự phòng pd22.5w 10000mah 30000mah 50000mah pin dự phòng màn hình led tích hợp tích hợp
24910953759	pin sạc dự phòng	0	217325	384307	43	4.88	812	751	TYZONG PRO	Thành phố Hà Nội	4.74	1143	1	0	100	sạc dự phòng pd22.5w Dosen Pro k7 10000mah 30000mah 50000mah pin dự phòng màn hình led tích hợp tích hợp
41078788493	sạc nhanh	1	61800	139960	56	4.84	427	385	DOSEN PRO	Thành phố Hà Nội	4.74	14313	0	1	100	DOSEN PRO Cáp USB loại C 5A cho công nghệ sạc nhanh và sạc nhanh cho Huawei / Xiaomi
50206229167	sạc nhanh	1	61800	139960	56	5.00	12	12	TYZONG PRO	Thành phố Hà Nội	4.74	1142	1	0	100	DOSEN PRO Cáp USB loại C 5A cho công nghệ sạc nhanh và sạc nhanh cho Huawei / Xiaomi
40231311373	sạc nhanh	1	57700	131960	56	4.78	67	61	DOSEN VN	Thành phố Hà Nội	4.75	3842	0	1	100	DOSEN 1M-2M Dây cáp sạc nhanh PD 60W từ Type-C sang Type-C tiện dụng cho Phone 15 Macbook Pro iPad Xiaomi Samsung
